"_timestamp","src_ip","url","filename","sha256","attack_stage"
"2026-06-26T03:36:51.528Z","192.142.28.77","http://192.142.28.77/bachekuni/ohshit.mpsl",,"9ad88e310633406c46aff5b7130ca6a2a3cdb0d70781001838e50a9f5f35e415","4-PostExploitation"
"2026-06-26T03:36:48.238Z","192.142.28.77","http://192.142.28.77/bachekuni/ohshit.i686",,"c8545034cd4fe71eeadb24dacddc5da95c4311c7112c299f1325801f3e06f928","4-PostExploitation"
"2026-06-26T06:15:07.257Z","147.185.132.22","http://216.219.88.245:8080/wp-login.php",,,"3-Exploitation"
"2026-06-26T07:22:54.964Z","83.168.69.141","http://83.168.110.191/re.sh",,,"1-Reconnaissance"
"2026-06-26T08:01:39.152Z","83.168.69.141","http://83.168.110.191/re.sh",,"93e71b122a432c2b7acf6a5db6ee3e42e792ef240acee466c4310b052e2416db","4-PostExploitation"
"2026-06-26T08:01:39.775Z","83.168.69.141","http://83.168.110.191/updaterros.x86_64",,,"1-Reconnaissance"
"2026-06-26T08:01:39.780Z","83.168.69.141","http://83.168.110.191/updaterros.aarch64",,"21e99667e2f0e73d12aae89f8cabd338426ab1fe4ce828ec93c07de615ef754c","4-PostExploitation"
"2026-06-26T08:01:39.570Z","83.168.69.141","http://83.168.110.191/updaterros.x86_64",,"f193db11dceb855f8b50a6dc966164199282a0a9eff24fa1d859913370205443","4-PostExploitation"
"2026-06-26T08:01:39.775Z","83.168.69.141","http://83.168.110.191/updaterros.x86_64",,"f193db11dceb855f8b50a6dc966164199282a0a9eff24fa1d859913370205443","4-PostExploitation"
"2026-06-26T08:01:41.983Z","83.168.69.141","http://83.168.110.191/updaterros.mips",,"3910f46fe809d723d169b5723e0724dba7aed441a065b53b98e2f1b0a9736569","4-PostExploitation"
"2026-06-26T08:01:41.570Z","83.168.69.141","http://83.168.110.191/updaterros.m68k",,"6aa904125beb01924243b0dd04e0988b16b8bccd5479224f8bbcd762814b303e","4-PostExploitation"
"2026-06-26T08:01:44.164Z","83.168.69.141","http://83.168.110.191/updaterros.mipsel",,"cc653189103bd14e46958bae5f37f94852b7d54ced5662bf7858801c138645a8","4-PostExploitation"
"2026-06-28T21:12:37.732Z","147.185.132.67","http://216.219.88.245:8080/wp-login.php",,,"3-Exploitation"
"2026-06-28T09:12:38.781Z","198.235.24.229","http://216.219.88.245:8080/wp-login.php",,,"3-Exploitation"
"2026-06-28T00:11:25.825Z","147.185.132.79","http://216.219.88.245:8080/wp-login.php",,,"3-Exploitation"
"2026-06-30T06:15:08.090Z","198.235.24.253","http://216.219.88.245:8080/wp-login.php",,,"3-Exploitation"
"2026-06-30T00:15:22.832Z","205.210.31.76","http://216.219.88.245:8080/wp-login.php",,,"3-Exploitation"
